,kategori,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
77,infeksi,area bengkak demam di infeksi lelah muncul ruam,"['area', 'bengkak', 'demam', 'di', 'infeksi', 'lelah', 'muncul', 'ruam']",<FreqDist with 8 samples and 8 outcomes>,"['area', 'bengkak', 'demam', 'infeksi', 'lelah', 'muncul', 'ruam']","['area', 'bengkak', 'demam', 'infeksi', 'lelah', 'muncul', 'ruam']"
78,pernapasan,bau bisa mencium tidak,"['bau', 'bisa', 'mencium', 'tidak']",<FreqDist with 4 samples and 4 outcomes>,"['bau', 'mencium']","['bau', 'cium']"
79,kulit dan kelamin,abnormal benjolan kulit merah pertumbuhan,"['abnormal', 'benjolan', 'kulit', 'merah', 'pertumbuhan']",<FreqDist with 5 samples and 5 outcomes>,"['abnormal', 'benjolan', 'kulit', 'merah', 'pertumbuhan']","['abnormal', 'benjol', 'kulit', 'merah', 'tumbuh']"
80,kulit dan kelamin,bagian di diinginkan jerawat menstruasi normal oleh rambut tidak tubuh tumbuh wanita yang,"['bagian', 'di', 'diinginkan', 'jerawat', 'menstruasi', 'normal', 'oleh', 'rambut', 'tidak', 'tubuh', 'tumbuh', 'wanita', 'yang']",<FreqDist with 13 samples and 13 outcomes>,"['jerawat', 'menstruasi', 'normal', 'rambut', 'tubuh', 'tumbuh', 'wanita']","['jerawat', 'menstruasi', 'normal', 'rambut', 'tubuh', 'tumbuh', 'wanita']"
81,kanker,benjolan berkerut di jaringan payudara penebalan,"['benjolan', 'berkerut', 'di', 'jaringan', 'payudara', 'penebalan']",<FreqDist with 6 samples and 6 outcomes>,"['benjolan', 'berkerut', 'jaringan', 'payudara', 'penebalan']","['benjol', 'kerut', 'jaring', 'payudara', 'tebal']"
82,infeksi,dada demam nyeri sendi,"['dada', 'demam', 'nyeri', 'sendi']",<FreqDist with 4 samples and 4 outcomes>,"['dada', 'demam', 'nyeri', 'sendi']","['dada', 'demam', 'nyeri', 'sendi']"
83,kepala,berdenging berputar mual pusing telinga,"['berdenging', 'berputar', 'mual', 'pusing', 'telinga']",<FreqDist with 5 samples and 5 outcomes>,"['berdenging', 'berputar', 'mual', 'pusing', 'telinga']","['denging', 'putar', 'mual', 'pusing', 'telinga']"
84,pernapasan,kepala lemas pusing sakit,"['kepala', 'lemas', 'pusing', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['kepala', 'lemas', 'pusing']","['kepala', 'lemas', 'pusing']"
85,infeksi,demam hidung kemampuan menurunnya penciuman tersumbat,"['demam', 'hidung', 'kemampuan', 'menurunnya', 'penciuman', 'tersumbat']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'hidung', 'kemampuan', 'menurunnya', 'penciuman', 'tersumbat']","['demam', 'hidung', 'mampu', 'turun', 'cium', 'sumbat']"
86,infeksi,berbicara berisik dan di didengar jelas kata keras lain lambat lebih memahami meminta orang saat seperti sering suara sulit tempat teredam terutata yang,"['berbicara', 'berisik', 'dan', 'di', 'didengar', 'jelas', 'kata', 'keras', 'lain', 'lambat', 'lebih', 'memahami', 'meminta', 'orang', 'saat', 'seperti', 'sering', 'suara', 'sulit', 'tempat', 'teredam', 'terutata', 'yang']",<FreqDist with 23 samples and 23 outcomes>,"['berbicara', 'berisik', 'didengar', 'keras', 'lambat', 'memahami', 'orang', 'suara', 'sulit', 'teredam', 'terutata']","['bicara', 'berisik', 'dengar', 'keras', 'lambat', 'paham', 'orang', 'suara', 'sulit', 'redam', 'terutata']"
87,kanker,benjolan di leher menelan serak suara sulit,"['benjolan', 'di', 'leher', 'menelan', 'serak', 'suara', 'sulit']",<FreqDist with 7 samples and 7 outcomes>,"['benjolan', 'leher', 'menelan', 'serak', 'suara', 'sulit']","['benjol', 'leher', 'tel', 'serak', 'suara', 'sulit']"
88,kulit dan kelamin,bercak bersisik gatal kemerahan kulit,"['bercak', 'bersisik', 'gatal', 'kemerahan', 'kulit']",<FreqDist with 5 samples and 5 outcomes>,"['bercak', 'bersisik', 'gatal', 'kemerahan', 'kulit']","['bercak', 'sisik', 'gatal', 'merah', 'kulit']"
89,perut,atau bagian di kram perut sakit seluruh tertentu,"['atau', 'bagian', 'di', 'kram', 'perut', 'sakit', 'seluruh', 'tertentu']",<FreqDist with 8 samples and 8 outcomes>,"['kram', 'perut']","['kram', 'perut']"
90,kulit dan kelamin,atau berdarah buah dan demam di mengalami paha pangkal sakit testis urine zakar,"['atau', 'berdarah', 'buah', 'dan', 'demam', 'di', 'mengalami', 'paha', 'pangkal', 'sakit', 'testis', 'urine', 'zakar']",<FreqDist with 13 samples and 13 outcomes>,"['berdarah', 'buah', 'demam', 'mengalami', 'paha', 'pangkal', 'testis', 'urine', 'zakar']","['darah', 'buah', 'demam', 'alami', 'paha', 'pangkal', 'testis', 'urine', 'zakar']"
91,kulit dan kelamin,air buang dengan gatal kecil keputihan menyerupai normal pada rasa saat sakit susu tidak vagina warna,"['air', 'buang', 'dengan', 'gatal', 'kecil', 'keputihan', 'menyerupai', 'normal', 'pada', 'rasa', 'saat', 'sakit', 'susu', 'tidak', 'vagina', 'warna']",<FreqDist with 16 samples and 16 outcomes>,"['air', 'buang', 'gatal', 'keputihan', 'menyerupai', 'normal', 'susu', 'vagina', 'warna']","['air', 'buang', 'gatal', 'putih', 'rupa', 'normal', 'susu', 'vagina', 'warna']"
92,kulit dan kelamin,bintik di gatal hari jerawat kulit malam parah ruam seperti terutama yang,"['bintik', 'di', 'gatal', 'hari', 'jerawat', 'kulit', 'malam', 'parah', 'ruam', 'seperti', 'terutama', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['bintik', 'gatal', 'jerawat', 'kulit', 'malam', 'parah', 'ruam']","['bintik', 'gatal', 'jerawat', 'kulit', 'malam', 'parah', 'ruam']"
93,infeksi,cahaya dan mata merah sakit sensitif terhadap,"['cahaya', 'dan', 'mata', 'merah', 'sakit', 'sensitif', 'terhadap']",<FreqDist with 7 samples and 7 outcomes>,"['cahaya', 'mata', 'merah', 'sensitif']","['cahaya', 'mata', 'merah', 'sensitif']"
94,perut,bodong demam pusar sembelit,"['bodong', 'demam', 'pusar', 'sembelit']",<FreqDist with 4 samples and 4 outcomes>,"['bodong', 'demam', 'pusar', 'sembelit']","['bodong', 'demam', 'pusar', 'sembelit']"
95,kulit dan kelamin,dan demam kemerahan kulit lendir lepuh pada ruam selaput,"['dan', 'demam', 'kemerahan', 'kulit', 'lendir', 'lepuh', 'pada', 'ruam', 'selaput']",<FreqDist with 9 samples and 9 outcomes>,"['demam', 'kemerahan', 'kulit', 'lendir', 'lepuh', 'ruam', 'selaput']","['demam', 'merah', 'kulit', 'lendir', 'lepuh', 'ruam', 'selaput']"
96,perut,dalam darah lemah nyeri pinggang tubuh urine,"['dalam', 'darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']",<FreqDist with 7 samples and 7 outcomes>,"['darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']","['darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']"
97,kepala,bergelombang kemerahan membengkak telinga terlipat yang,"['bergelombang', 'kemerahan', 'membengkak', 'telinga', 'terlipat', 'yang']",<FreqDist with 6 samples and 6 outcomes>,"['bergelombang', 'kemerahan', 'membengkak', 'telinga', 'terlipat']","['gelombang', 'merah', 'bengkak', 'telinga', 'lipat']"
98,kanker,anemia mudah nyeri patah tulang,"['anemia', 'mudah', 'nyeri', 'patah', 'tulang']",<FreqDist with 5 samples and 5 outcomes>,"['anemia', 'mudah', 'nyeri', 'patah', 'tulang']","['anemia', 'mudah', 'nyeri', 'patah', 'tulang']"
99,kanker,aneh beberapa benjolan bibir dalam kebas minggu mulut sariawan selama,"['aneh', 'beberapa', 'benjolan', 'bibir', 'dalam', 'kebas', 'minggu', 'mulut', 'sariawan', 'selama']",<FreqDist with 10 samples and 10 outcomes>,"['aneh', 'benjolan', 'bibir', 'kebas', 'minggu', 'mulut', 'sariawan']","['aneh', 'benjol', 'bibir', 'kebas', 'minggu', 'mulut', 'sariawan']"
100,kepala,atau gangguan kaku lemah otot perkembangan terlalu,"['atau', 'gangguan', 'kaku', 'lemah', 'otot', 'perkembangan', 'terlalu']",<FreqDist with 7 samples and 7 outcomes>,"['gangguan', 'kaku', 'lemah', 'otot', 'perkembangan']","['ganggu', 'kaku', 'lemah', 'otot', 'kembang']"
101,infeksi,demam kelelahan nyeri tenggorokan,"['demam', 'kelelahan', 'nyeri', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'kelelahan', 'nyeri', 'tenggorokan']","['demam', 'lelah', 'nyeri', 'tenggorok']"
102,jantung,berdebar cepat dengan jantung napas pusing sesak,"['berdebar', 'cepat', 'dengan', 'jantung', 'napas', 'pusing', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['berdebar', 'cepat', 'jantung', 'napas', 'pusing', 'sesak']","['debar', 'cepat', 'jantung', 'napas', 'pusing', 'sesak']"
103,kulit dan kelamin,atau bercak bersisik gatal kering kulit merah,"['atau', 'bercak', 'bersisik', 'gatal', 'kering', 'kulit', 'merah']",<FreqDist with 7 samples and 7 outcomes>,"['bercak', 'bersisik', 'gatal', 'kering', 'kulit', 'merah']","['bercak', 'sisik', 'gatal', 'kering', 'kulit', 'merah']"
104,kanker,badan batuk berat berdarah napas penurunan sesak,"['badan', 'batuk', 'berat', 'berdarah', 'napas', 'penurunan', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'batuk', 'berat', 'berdarah', 'napas', 'penurunan', 'sesak']","['badan', 'batuk', 'berat', 'darah', 'napas', 'turun', 'sesak']"
105,kulit dan kelamin,bengkak kemerahan kulit lepuh,"['bengkak', 'kemerahan', 'kulit', 'lepuh']",<FreqDist with 4 samples and 4 outcomes>,"['bengkak', 'kemerahan', 'kulit', 'lepuh']","['bengkak', 'merah', 'kulit', 'lepuh']"
106,perut,menelan muntah sulit tersedak,"['menelan', 'muntah', 'sulit', 'tersedak']",<FreqDist with 4 samples and 4 outcomes>,"['menelan', 'muntah', 'sulit', 'tersedak']","['tel', 'muntah', 'sulit', 'sedak']"
107,kulit dan kelamin,alat atau benjolan berhubungan cairan dari intim kelamin keluar luka nyeri saat,"['alat', 'atau', 'benjolan', 'berhubungan', 'cairan', 'dari', 'intim', 'kelamin', 'keluar', 'luka', 'nyeri', 'saat']",<FreqDist with 12 samples and 12 outcomes>,"['alat', 'benjolan', 'berhubungan', 'cairan', 'intim', 'kelamin', 'luka', 'nyeri']","['alat', 'benjol', 'hubung', 'cair', 'intim', 'kelamin', 'luka', 'nyeri']"
108,kanker,dan darah lendir pada sembelit tinja,"['dan', 'darah', 'lendir', 'pada', 'sembelit', 'tinja']",<FreqDist with 6 samples and 6 outcomes>,"['darah', 'lendir', 'sembelit', 'tinja']","['darah', 'lendir', 'sembelit', 'tinja']"
109,kulit dan kelamin,bersisik dan gatal kemerahan kepala kulit,"['bersisik', 'dan', 'gatal', 'kemerahan', 'kepala', 'kulit']",<FreqDist with 6 samples and 6 outcomes>,"['bersisik', 'gatal', 'kemerahan', 'kepala', 'kulit']","['sisik', 'gatal', 'merah', 'kepala', 'kulit']"
110,kanker,dalam darah lemah nyeri pinggang tubuh urine,"['dalam', 'darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']",<FreqDist with 7 samples and 7 outcomes>,"['darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']","['darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']"
111,perut,air berdarah besar buang feses kebiasaan nyeri perubahan perut,"['air', 'berdarah', 'besar', 'buang', 'feses', 'kebiasaan', 'nyeri', 'perubahan', 'perut']",<FreqDist with 9 samples and 9 outcomes>,"['air', 'berdarah', 'buang', 'feses', 'kebiasaan', 'nyeri', 'perubahan', 'perut']","['air', 'darah', 'buang', 'feses', 'biasa', 'nyeri', 'ubah', 'perut']"
112,kepala,kabur kepala mati penglihatan rasa sakit,"['kabur', 'kepala', 'mati', 'penglihatan', 'rasa', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['kabur', 'kepala', 'mati', 'penglihatan']","['kabur', 'kepala', 'mati', 'lihat']"
113,kulit dan kelamin,area benjolan berkerak dagu dan di ditumbuhi gatal kemerahan kulit leher rambut serta yang,"['area', 'benjolan', 'berkerak', 'dagu', 'dan', 'di', 'ditumbuhi', 'gatal', 'kemerahan', 'kulit', 'leher', 'rambut', 'serta', 'yang']",<FreqDist with 14 samples and 14 outcomes>,"['area', 'benjolan', 'berkerak', 'dagu', 'ditumbuhi', 'gatal', 'kemerahan', 'kulit', 'leher', 'rambut']","['area', 'benjol', 'kerak', 'dagu', 'tumbuh', 'gatal', 'merah', 'kulit', 'leher', 'rambut']"
114,kulit dan kelamin,berbentuk berukuran bintil bulat dan di kecil kulit,"['berbentuk', 'berukuran', 'bintil', 'bulat', 'dan', 'di', 'kecil', 'kulit']",<FreqDist with 8 samples and 8 outcomes>,"['berbentuk', 'berukuran', 'bintil', 'bulat', 'kulit']","['bentuk', 'ukur', 'bintil', 'bulat', 'kulit']"
115,kepala,gerakan leher sakit terbatas tremor,"['gerakan', 'leher', 'sakit', 'terbatas', 'tremor']",<FreqDist with 5 samples and 5 outcomes>,"['gerakan', 'leher', 'terbatas', 'tremor']","['gera', 'leher', 'batas', 'tremor']"
116,perut,atau berwarna cokelat feses gelap hitam kondisi merah muntahan nyaman perut tidak,"['atau', 'berwarna', 'cokelat', 'feses', 'gelap', 'hitam', 'kondisi', 'merah', 'muntahan', 'nyaman', 'perut', 'tidak']",<FreqDist with 12 samples and 12 outcomes>,"['berwarna', 'cokelat', 'feses', 'gelap', 'hitam', 'kondisi', 'merah', 'muntahan', 'nyaman', 'perut']","['warna', 'cokelat', 'feses', 'gelap', 'hitam', 'kondisi', 'merah', 'muntah', 'nyaman', 'perut']"
117,kulit dan kelamin,bercak di gatal kesemutan kulit merah sensasi,"['bercak', 'di', 'gatal', 'kesemutan', 'kulit', 'merah', 'sensasi']",<FreqDist with 7 samples and 7 outcomes>,"['bercak', 'gatal', 'kesemutan', 'kulit', 'merah', 'sensasi']","['bercak', 'gatal', 'semut', 'kulit', 'merah', 'sensasi']"
118,kulit dan kelamin,batang dari empat ereksi jam kaku lebih nyeri pada penis yang,"['batang', 'dari', 'empat', 'ereksi', 'jam', 'kaku', 'lebih', 'nyeri', 'pada', 'penis', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['batang', 'ereksi', 'jam', 'kaku', 'nyeri', 'penis']","['batang', 'ereksi', 'jam', 'kaku', 'nyeri', 'penis']"
119,perut,bayi benjolan dan gangguan keluar lewat makanan pada pencernaan pergerakan perut pusar tali usus yang,"['bayi', 'benjolan', 'dan', 'gangguan', 'keluar', 'lewat', 'makanan', 'pada', 'pencernaan', 'pergerakan', 'perut', 'pusar', 'tali', 'usus', 'yang']",<FreqDist with 15 samples and 15 outcomes>,"['bayi', 'benjolan', 'gangguan', 'makanan', 'pencernaan', 'pergerakan', 'perut', 'pusar', 'tali', 'usus']","['bayi', 'benjol', 'ganggu', 'makan', 'cerna', 'gera', 'perut', 'pusar', 'tali', 'usus']"
120,kulit dan kelamin,kejang menegang nyeri otot penetrasi saat seperti terbakar,"['kejang', 'menegang', 'nyeri', 'otot', 'penetrasi', 'saat', 'seperti', 'terbakar']",<FreqDist with 8 samples and 8 outcomes>,"['kejang', 'menegang', 'nyeri', 'otot', 'penetrasi', 'terbakar']","['kejang', 'tegang', 'nyeri', 'otot', 'penetrasi', 'bakar']"
121,kulit dan kelamin,aliran berkemih lemah mendesak nyeri perasaan saat urine yang,"['aliran', 'berkemih', 'lemah', 'mendesak', 'nyeri', 'perasaan', 'saat', 'urine', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['aliran', 'berkemih', 'lemah', 'mendesak', 'nyeri', 'perasaan', 'urine']","['alir', 'kemih', 'lemah', 'desak', 'nyeri', 'asa', 'urine']"
122,kulit dan kelamin,benjolan bercak cincin dengan memerah merah seperti tepi,"['benjolan', 'bercak', 'cincin', 'dengan', 'memerah', 'merah', 'seperti', 'tepi']",<FreqDist with 8 samples and 8 outcomes>,"['benjolan', 'bercak', 'cincin', 'memerah', 'merah', 'tepi']","['benjol', 'bercak', 'cincin', 'merah', 'merah', 'tepi']"
123,infeksi,air atau buang gatal ingin kecil nyeri pipis saat sensasi sering terbakar waktu,"['air', 'atau', 'buang', 'gatal', 'ingin', 'kecil', 'nyeri', 'pipis', 'saat', 'sensasi', 'sering', 'terbakar', 'waktu']",<FreqDist with 13 samples and 13 outcomes>,"['air', 'buang', 'gatal', 'nyeri', 'pipis', 'sensasi', 'terbakar']","['air', 'buang', 'gatal', 'nyeri', 'pipis', 'sensasi', 'bakar']"
124,pernapasan,cepat dan napas pendek sengal tersengal,"['cepat', 'dan', 'napas', 'pendek', 'sengal', 'tersengal']",<FreqDist with 6 samples and 6 outcomes>,"['cepat', 'napas', 'pendek', 'sengal', 'tersengal']","['cepat', 'napas', 'pendek', 'sengal', 'sengal']"
125,kulit dan kelamin,atau bagian bawah gelap keunguan mata menjadi,"['atau', 'bagian', 'bawah', 'gelap', 'keunguan', 'mata', 'menjadi']",<FreqDist with 7 samples and 7 outcomes>,"['gelap', 'keunguan', 'mata']","['gelap', 'ungu', 'mata']"
126,kepala,gangguan kepala muntah penglihatan sakit,"['gangguan', 'kepala', 'muntah', 'penglihatan', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['gangguan', 'kepala', 'muntah', 'penglihatan']","['ganggu', 'kepala', 'muntah', 'lihat']"
127,kulit dan kelamin,benjolan demam memar nyeri sendi,"['benjolan', 'demam', 'memar', 'nyeri', 'sendi']",<FreqDist with 5 samples and 5 outcomes>,"['benjolan', 'demam', 'memar', 'nyeri', 'sendi']","['benjol', 'demam', 'memar', 'nyeri', 'sendi']"
128,pernapasan,serak suara yang,"['serak', 'suara', 'yang']",<FreqDist with 3 samples and 3 outcomes>,"['serak', 'suara']","['serak', 'suara']"
129,kanker,atau benjolan berwarna biru cokelat kenyal merah sakit terasa ungu yang,"['atau', 'benjolan', 'berwarna', 'biru', 'cokelat', 'kenyal', 'merah', 'sakit', 'terasa', 'ungu', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['benjolan', 'berwarna', 'biru', 'cokelat', 'kenyal', 'merah', 'ungu']","['benjol', 'warna', 'biru', 'cokelat', 'kenyal', 'merah', 'ungu']"
130,infeksi,dan darah diare disertai mual muntah perut sakit,"['dan', 'darah', 'diare', 'disertai', 'mual', 'muntah', 'perut', 'sakit']",<FreqDist with 8 samples and 8 outcomes>,"['darah', 'diare', 'disertai', 'mual', 'muntah', 'perut']","['darah', 'diare', 'serta', 'mual', 'muntah', 'perut']"
131,kulit dan kelamin,bengkak demam kemerahan malaise mengilap muncul ruam,"['bengkak', 'demam', 'kemerahan', 'malaise', 'mengilap', 'muncul', 'ruam']",<FreqDist with 7 samples and 7 outcomes>,"['bengkak', 'demam', 'kemerahan', 'malaise', 'mengilap', 'muncul', 'ruam']","['bengkak', 'demam', 'merah', 'malaise', 'kilap', 'muncul', 'ruam']"
132,kulit dan kelamin,atau bawah berbau berkemih berwarna dan hijau keputihan kuning nyeri perut,"['atau', 'bawah', 'berbau', 'berkemih', 'berwarna', 'dan', 'hijau', 'keputihan', 'kuning', 'nyeri', 'perut']",<FreqDist with 11 samples and 11 outcomes>,"['berbau', 'berkemih', 'berwarna', 'hijau', 'keputihan', 'kuning', 'nyeri', 'perut']","['bau', 'kemih', 'warna', 'hijau', 'putih', 'kuning', 'nyeri', 'perut']"
133,kulit dan kelamin,bintil di hingga koreng kronis lepuh luka nyeri satu sisi tubuh,"['bintil', 'di', 'hingga', 'koreng', 'kronis', 'lepuh', 'luka', 'nyeri', 'satu', 'sisi', 'tubuh']",<FreqDist with 11 samples and 11 outcomes>,"['bintil', 'koreng', 'kronis', 'lepuh', 'luka', 'nyeri', 'sisi', 'tubuh']","['bintil', 'koreng', 'kronis', 'lepuh', 'luka', 'nyeri', 'sisi', 'tubuh']"
134,kulit dan kelamin,abu atau bercak besar bisa dan dengan kebiruan kecil kulit rata,"['abu', 'atau', 'bercak', 'besar', 'bisa', 'dan', 'dengan', 'kebiruan', 'kecil', 'kulit', 'rata']",<FreqDist with 11 samples and 11 outcomes>,"['abu', 'bercak', 'kebiruan', 'kulit']","['abu', 'bercak', 'biru', 'kulit']"
135,perut,mual muntah,"['mual', 'muntah']",<FreqDist with 2 samples and 2 outcomes>,"['mual', 'muntah']","['mual', 'muntah']"
136,kanker,dan di infeksi kurang menderita mineral mulut protein,"['dan', 'di', 'infeksi', 'kurang', 'menderita', 'mineral', 'mulut', 'protein']",<FreqDist with 8 samples and 8 outcomes>,"['infeksi', 'menderita', 'mineral', 'mulut', 'protein']","['infeksi', 'derita', 'mineral', 'mulut', 'protein']"
137,kanker,area atau benjolan dan di kanan kelemahan kiri nyeri otot pada pipi wajah,"['area', 'atau', 'benjolan', 'dan', 'di', 'kanan', 'kelemahan', 'kiri', 'nyeri', 'otot', 'pada', 'pipi', 'wajah']",<FreqDist with 13 samples and 13 outcomes>,"['area', 'benjolan', 'kanan', 'kelemahan', 'kiri', 'nyeri', 'otot', 'pipi', 'wajah']","['area', 'benjol', 'kanan', 'lemah', 'kiri', 'nyeri', 'otot', 'pipi', 'wajah']"
138,pernapasan,atau batuk hilang kering sakit serak suara tenggorokan,"['atau', 'batuk', 'hilang', 'kering', 'sakit', 'serak', 'suara', 'tenggorokan']",<FreqDist with 8 samples and 8 outcomes>,"['batuk', 'hilang', 'kering', 'serak', 'suara', 'tenggorokan']","['batuk', 'hilang', 'kering', 'serak', 'suara', 'tenggorok']"
139,infeksi,demam menelan sakit tenggorokan,"['demam', 'menelan', 'sakit', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'menelan', 'tenggorokan']","['demam', 'tel', 'tenggorok']"
140,kulit dan kelamin,bagian berwarna bibir biji bintik cokelat dan di gatal jagung kekuningan kerak lain lokasi membentuk memerah menyebar pada pinggir seukuran tubuh yang,"['bagian', 'berwarna', 'bibir', 'biji', 'bintik', 'cokelat', 'dan', 'di', 'gatal', 'jagung', 'kekuningan', 'kerak', 'lain', 'lokasi', 'membentuk', 'memerah', 'menyebar', 'pada', 'pinggir', 'seukuran', 'tubuh', 'yang']",<FreqDist with 22 samples and 22 outcomes>,"['berwarna', 'bibir', 'biji', 'bintik', 'cokelat', 'gatal', 'jagung', 'kekuningan', 'kerak', 'lokasi', 'membentuk', 'memerah', 'menyebar', 'pinggir', 'seukuran', 'tubuh']","['warna', 'bibir', 'biji', 'bintik', 'cokelat', 'gatal', 'jagung', 'kuning', 'kerak', 'lokasi', 'bentuk', 'merah', 'sebar', 'pinggir', 'ukur', 'tubuh']"
141,pernapasan,atau berat cepat dan kebiruan kuku kulit napas sesak yang,"['atau', 'berat', 'cepat', 'dan', 'kebiruan', 'kuku', 'kulit', 'napas', 'sesak', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['berat', 'cepat', 'kebiruan', 'kuku', 'kulit', 'napas', 'sesak']","['berat', 'cepat', 'biru', 'kuku', 'kulit', 'napas', 'sesak']"
142,kulit dan kelamin,bawah benjolan di kulit pori putih tertutup,"['bawah', 'benjolan', 'di', 'kulit', 'pori', 'putih', 'tertutup']",<FreqDist with 7 samples and 7 outcomes>,"['benjolan', 'kulit', 'pori', 'putih', 'tertutup']","['benjol', 'kulit', 'pori', 'putih', 'tutup']"
143,pernapasan,berair bersin hidung tersumbat,"['berair', 'bersin', 'hidung', 'tersumbat']",<FreqDist with 4 samples and 4 outcomes>,"['berair', 'bersin', 'hidung', 'tersumbat']","['air', 'bersin', 'hidung', 'sumbat']"
144,perut,badan berat lelah mudah pembengkakan penurunan tubuh,"['badan', 'berat', 'lelah', 'mudah', 'pembengkakan', 'penurunan', 'tubuh']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'berat', 'lelah', 'mudah', 'pembengkakan', 'penurunan', 'tubuh']","['badan', 'berat', 'lelah', 'mudah', 'bengkak', 'turun', 'tubuh']"
145,kulit dan kelamin,gatal kering kulit pecah,"['gatal', 'kering', 'kulit', 'pecah']",<FreqDist with 4 samples and 4 outcomes>,"['gatal', 'kering', 'kulit', 'pecah']","['gatal', 'kering', 'kulit', 'pecah']"
146,infeksi,bersisik dan gatal kulit merah,"['bersisik', 'dan', 'gatal', 'kulit', 'merah']",<FreqDist with 5 samples and 5 outcomes>,"['bersisik', 'gatal', 'kulit', 'merah']","['sisik', 'gatal', 'kulit', 'merah']"
147,pernapasan,berhenti berisik berlebih bernapas di hari kantuk saat siang suara tidur waktu,"['berhenti', 'berisik', 'berlebih', 'bernapas', 'di', 'hari', 'kantuk', 'saat', 'siang', 'suara', 'tidur', 'waktu']",<FreqDist with 12 samples and 12 outcomes>,"['berhenti', 'berisik', 'berlebih', 'bernapas', 'kantuk', 'siang', 'suara', 'tidur']","['henti', 'berisik', 'lebih', 'napas', 'kantuk', 'siang', 'suara', 'tidur']"
148,kanker,bening berkeringat di getah hari kelenjar letih malam merasa pembengkakan selalu,"['bening', 'berkeringat', 'di', 'getah', 'hari', 'kelenjar', 'letih', 'malam', 'merasa', 'pembengkakan', 'selalu']",<FreqDist with 11 samples and 11 outcomes>,"['bening', 'berkeringat', 'getah', 'kelenjar', 'letih', 'malam', 'pembengkakan']","['bening', 'keringat', 'getah', 'kelenjar', 'letih', 'malam', 'bengkak']"
149,pernapasan,di hari kering mendengkur mengantuk siang tenggorokan,"['di', 'hari', 'kering', 'mendengkur', 'mengantuk', 'siang', 'tenggorokan']",<FreqDist with 7 samples and 7 outcomes>,"['kering', 'mendengkur', 'mengantuk', 'siang', 'tenggorokan']","['kering', 'dengkur', 'antuk', 'siang', 'tenggorok']"
150,infeksi,air buang ingin kecil keruh sensasi sering terbakar urine,"['air', 'buang', 'ingin', 'kecil', 'keruh', 'sensasi', 'sering', 'terbakar', 'urine']",<FreqDist with 9 samples and 9 outcomes>,"['air', 'buang', 'keruh', 'sensasi', 'terbakar', 'urine']","['air', 'buang', 'keruh', 'sensasi', 'bakar', 'urine']"
151,infeksi,demam diare kronis sariawan,"['demam', 'diare', 'kronis', 'sariawan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'diare', 'kronis', 'sariawan']","['demam', 'diare', 'kronis', 'sariawan']"
152,perut,badan berat diare penurunan perut sakit,"['badan', 'berat', 'diare', 'penurunan', 'perut', 'sakit']",<FreqDist with 6 samples and 6 outcomes>,"['badan', 'berat', 'diare', 'penurunan', 'perut']","['badan', 'berat', 'diare', 'turun', 'perut']"
153,perut,berwarna gelap kehilangan makan nyeri perut selera urine,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']",<FreqDist with 8 samples and 8 outcomes>,"['berwarna', 'gelap', 'kehilangan', 'makan', 'nyeri', 'perut', 'selera', 'urine']","['warna', 'gelap', 'hilang', 'makan', 'nyeri', 'perut', 'selera', 'urine']"
154,kulit dan kelamin,demam ruam sakit tenggorokan,"['demam', 'ruam', 'sakit', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'ruam', 'tenggorokan']","['demam', 'ruam', 'tenggorok']"
155,perut,kembung nyeri parah perut yang,"['kembung', 'nyeri', 'parah', 'perut', 'yang']",<FreqDist with 5 samples and 5 outcomes>,"['kembung', 'nyeri', 'parah', 'perut']","['kembung', 'nyeri', 'parah', 'perut']"
