kategori,gejala
kepala,"Nyeri di wajah atau rahang, rahang bawah tidak sejajar dengan rahang atas, rahang kaku dan sulit digerakkan"
jantung,"Sulit makan, berkeringat saat menangis atau makan, napas cepat atau sesak napas"
infeksi,"Kuku berubah warna, kuku menebal, rapuh"
infeksi,"Kedua sisi wajah tampak bengkak, nyeri leher, sakit kepala"
infeksi,"Kulit kemerahan di belakang telinga, rasa nyeri di belakang telinga"
kanker,"Kulit tampak memar, bengkak, kulit mudah berdarah saat tergores"
kulit dan kelamin,"Nyeri, kulit memerah, nanah kering atau darah di kulit yang terbuka"
kulit dan kelamin,"Rasa sakit, kemerahan, bengkak di ujung jari kaki"
jantung,"Dada berdebar, detak jantung cepat, nyeri dada"
jantung,"Nyeri dada kiri, nyeri menjalar hingga punggung, napas pendek"
kepala,"Ada suara berdenging, berdengung, gemuruh, klik, berdesis, atau bersenandung dalam telinga"
infeksi,"Demam, pembesaran kelenjar getah bening, ruam kulit"
kepala,"Sakit kepala sebelah, nyeri berdenyut, sakit bisa menjalar ke wajah dan leher"
kanker,"Perdarahan vagina, nyeri panggul"
perut,"Kram perut, diare, kentut berlebihan"
kanker,"Nyeri, bengkak, dan muncul benjolan di rahang, sulit membuka mulut"
jantung,"Pingsan,Â pusing, lemasÂ "
kanker,"Susah menelan, berat badan turun tanpa sebab, dada sesak"
perut,"Sakit perut, diare, tubuh lemah"
jantung,"Nyeri di perut atau rahang, peningkatan denyut jantung, kehilangan kesadaran"
infeksi,"Urine lebih gelap dibanding biasa, sakit perut kanan atas"
kulit dan kelamin,"Nodul keras berwarna merah, terdapat luka seperti sisik, perubahan pada kulit"
jantung,"Sakit kepala, sesak napas, mimisan"
kepala,"Lemah, tidak mampu berkomunikasi, penurunan kesadaran"
kanker,"Kembung, sendawa, sakit perut"
infeksi,"Kelumpuhan, demam, nyeri otot"
perut,"Perubahan nafsu makan, perut terasa penuh, kembung"
pernapasan,"Nyeri dada mendadak, napas pendek, batuk"
kanker,"Sakit kepala, kejang, penglihatan kabur"
kulit dan kelamin,"Muncul serpihan kulit mati, kulit kepala gatal, kulit kepala berkerak"
jantung,"Keringat berlebih, detak jantung meningkat, sakit kepala"
kulit dan kelamin,"Sakit atau sensasi terbakar, nyeri saat penetrasi, nyeri berdenyut selama berjam-jam setelah hubungan intim"
kulit dan kelamin,"Nyeri hebat di buah zakar, pembengkakan skrotum, nyeri perut"
kanker,"Sesak napas, demam"
jantung,"Nyeri dada, jantung berdebar-debar, sesak napasÂ "
kanker,"Muncul benjolan, kelelahan, nyeri, batuk kronis"
kanker,"Nyeri, bengkak, dan kaku di lokasi tumor"
perut,"Kembung, selalu merasa kenyang, maag kronik"
pernapasan,"Suara serak, sesak napas, sakit leher"
kanker,"Kembung, selalu merasa kenyang, maag kronik"
pernapasan,Batuk berdahak
kanker,"Benjolan atau luka yang nyeri pada kemaluan, perubahan struktur kulit dan warna kulit, pendarahan yang bukan berasal dari menstruasi"
kanker,"Benjolan di tulang, tekanan pada tulang, sakit tulang"
kepala,"Vertigo, hilang keseimbangan, berdenyut"
kulit dan kelamin,"Kulit kemerahan, kulit terasa hangat jika disentuh, gatal"
kanker,"Benjolan pada jaringan lunak atau di bawah kulit, terasa nyeri"
jantung,"Nyeri dada, mual, muntah"
jantung,"Sesak napas, aritmia, edema"
infeksi,"Gatal dan panas di sela jari atau telapak kaki, kulit mengelupas, kulit kering."
infeksi,"Keringat di malam hari, penyumbatan limfatik, demam"
kepala,"Kulit pucat, tubuh dingin saat disentuh, gemetar"
kulit dan kelamin,"Pori-pori tampak membesar pada area T wajah seperti dahi, hidung, dan dagu."
kanker,"Benjolan di kulit, nyeri, pembengkakan"
jantung,"Nyeri dada, sakit perut, mual"
kulit dan kelamin,"Benjolan atau luka yang nyeri pada kemaluan, perubahan struktur kulit dan warna kulit, pendarahan yang bukan berasal dari menstruasi"
infeksi,"Gatal pada area terkena, bintik-bintik kecil di paha atau perut bagian bawah, bercak hitam di celana"
perut,"Diare, kembung, kram perut"
kepala,"Sakit kepala, gangguan penglihatan, penurunan kesadaran"
kepala,"Kehilangan memori, kesulitan berkomunikasi, sulit nalar"
perut,"Perut kram, mual, muntah"
perut,"Feses lembek, sering buang air besar"
perut,"Kram perut, perut terasa begah, konstipasi"
perut,"Mual, sakit perut, kembung"
infeksi,"Demam, mual dan muntah, kelelahan"
pernapasan,"Rasa tertekan di dada, mengi, batuk"
kepala,"Sakit wajah saat berbicara, senyum, mengunyah"
perut,"Heartburn, tenggorokan terasa mengganjal, mual"
kulit dan kelamin,Permukaan kulit tidak rata dan bergelombang
kulit dan kelamin,Muncul lepuhan di kulit
perut,"Muntah darah, feses berdarah, sakit perut"
infeksi,"Kulit kepala gatal terus-menerus, terasa ada yang bergerak di kepala, benjolan merah di kulit kepala, leher, dan bahu"
perut,"Selalu lelah, kulit terasa gatal , mata dan mulut yang kering"
infeksi,"Penyakit kuning, tidak nafsu makan, mual"
kulit dan kelamin,"Benjolan di bawah kulit, benjolan lunak, mudah bergerak jika ditekan"
perut,"Perut bengkak, berat badan bertambah, mudah merasa kenyang"
kepala,Penipisan rambutÂ 
kepala,"Sakit kepala, muntah, kesulitan berjalan"
kepala,"Gangguan gerak, gangguan penglihatan"
pernapasan,"Sesak, warna kulit menjadi biru, kehilangan kesadaran"
kulit dan kelamin,"Kulit merah, gatal, dan bersisik"
kanker,"Sariawan yang tidak kunjung sembuh, mulut mati rasa, sakit di rahang atau tenggorokan"
perut,"Sulit menahan buang air kecil, buang air kecil terasa tidak tuntas, urine yang menetes"
kepala,"Pusing, leher sakit, lemah otot"
infeksi,"Demam, mual, gangguan pernapasan"
kepala,"Kesulitan belajar informasi baru, kesulitan mengingat peristiwa masa lalu, tampak kebingungan"
pernapasan,Keluarnya darah yang berasal dari hidung
jantung,"Kurang nafsu makan, mudah lelah, pernapasan tidak teratur"
kanker,"Muncul benjolan, kelelahan, nyeri, batuk kronis"
perut,"Sakit perut kanan bawah, mual, demam"
pernapasan,"Sesak napas, batuk, demam"
perut,"Diare kronis, feses abnormal, penurunan berat badan"
infeksi,"Benjolan di bawah kulit, pandangan buram, kejang"
jantung,"Pingsan, kejang-kejang, henti jantung"
kulit dan kelamin,"Kulit kaki menebal, teraba benjolan pada kulit, terasa nyeri"
kulit dan kelamin,"Gatal dan benjolan di area genital, perdarahan saat berhubungan seks"
kanker,"Benjolan di testis, terasa nyeri yang hilang timbul, nyeri di lipatan paha"
kanker,"Pendarahan vagina secara berlebihan, vagina benjol, cairan vagina encer"
kepala,"Ukuran kepala yang tidak normal, pandangan kabur, kesulitan berjalan"
pernapasan,"Batuk terus menerus yang menghasilkan lendir kental, napas bunyi, napas pendek"
kulit dan kelamin,"Tanda merah datar di permukaan kulit, muncul benjolan kenyal di kulit"
