,kategori,penyakit,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
152,jantung,Henti Jantung Mendadak,bernapas denyut nadi pingsan tak teraba tidak,"['bernapas', 'denyut', 'nadi', 'pingsan', 'tak', 'teraba', 'tidak']",<FreqDist with 7 samples and 7 outcomes>,"['bernapas', 'denyut', 'nadi', 'pingsan', 'teraba']","['napas', 'denyut', 'nadi', 'pingsan', 'aba']"
153,jantung,Hipertensi,kepala mimisan napas sakit sesak,"['kepala', 'mimisan', 'napas', 'sakit', 'sesak']",<FreqDist with 5 samples and 5 outcomes>,"['kepala', 'mimisan', 'napas', 'sesak']","['kepala', 'mimisan', 'napas', 'sesak']"
154,jantung,Hipertensi Pulmonal,atau lelah mendadak mudah napas pingsan pusing sesak,"['atau', 'lelah', 'mendadak', 'mudah', 'napas', 'pingsan', 'pusing', 'sesak']",<FreqDist with 8 samples and 8 outcomes>,"['lelah', 'mendadak', 'mudah', 'napas', 'pingsan', 'pusing', 'sesak']","['lelah', 'dadak', 'mudah', 'napas', 'pingsan', 'pusing', 'sesak']"
155,jantung,Hipertensi Sekunder,berlebih detak jantung kepala keringat meningkat sakit,"['berlebih', 'detak', 'jantung', 'kepala', 'keringat', 'meningkat', 'sakit']",<FreqDist with 7 samples and 7 outcomes>,"['berlebih', 'detak', 'jantung', 'kepala', 'keringat', 'meningkat']","['lebih', 'detak', 'jantung', 'kepala', 'keringat', 'tingkat']"
156,jantung,Hipotensi,kabur penglihatan pusing sempoyongan,"['kabur', 'penglihatan', 'pusing', 'sempoyongan']",<FreqDist with 4 samples and 4 outcomes>,"['kabur', 'penglihatan', 'pusing', 'sempoyongan']","['kabur', 'lihat', 'pusing', 'sempoyongan']"
157,jantung,Jantung Berdebar (Palpitasi),atau berdegup cepat detak jantung kencang terlalu yang,"['atau', 'berdegup', 'cepat', 'detak', 'jantung', 'kencang', 'terlalu', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['berdegup', 'cepat', 'detak', 'jantung', 'kencang']","['degup', 'cepat', 'detak', 'jantung', 'kencang']"
158,jantung,Kardiomegali,aritmia edema napas sesak,"['aritmia', 'edema', 'napas', 'sesak']",<FreqDist with 4 samples and 4 outcomes>,"['aritmia', 'edema', 'napas', 'sesak']","['aritmia', 'edema', 'napas', 'sesak']"
159,jantung,Kardiomiopati,berdebar dada debar jantung napas nyeri sesak,"['berdebar', 'dada', 'debar', 'jantung', 'napas', 'nyeri', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['berdebar', 'dada', 'debar', 'jantung', 'napas', 'nyeri', 'sesak']","['debar', 'dada', 'debar', 'jantung', 'napas', 'nyeri', 'sesak']"
160,jantung,Koarktasio Aorta,bernapas darah makan sulit susah tekanan tinggi,"['bernapas', 'darah', 'makan', 'sulit', 'susah', 'tekanan', 'tinggi']",<FreqDist with 7 samples and 7 outcomes>,"['bernapas', 'darah', 'makan', 'sulit', 'susah', 'tekanan']","['napas', 'darah', 'makan', 'sulit', 'susah', 'tekan']"
161,jantung,Left Ventricular Hypertrophy (Hipertrofi Ventrikel Kiri),berdebar dada debar jantung napas nyeri sesak,"['berdebar', 'dada', 'debar', 'jantung', 'napas', 'nyeri', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['berdebar', 'dada', 'debar', 'jantung', 'napas', 'nyeri', 'sesak']","['debar', 'dada', 'debar', 'jantung', 'napas', 'nyeri', 'sesak']"
162,jantung,Long QT syndrome,henti jantung kejang pingsan,"['henti', 'jantung', 'kejang', 'pingsan']",<FreqDist with 4 samples and 4 outcomes>,"['henti', 'jantung', 'kejang', 'pingsan']","['henti', 'jantung', 'kejang', 'pingsan']"
163,jantung,Miokarditis,cepat dada detak jantung napas nyeri sesak,"['cepat', 'dada', 'detak', 'jantung', 'napas', 'nyeri', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['cepat', 'dada', 'detak', 'jantung', 'napas', 'nyeri', 'sesak']","['cepat', 'dada', 'detak', 'jantung', 'napas', 'nyeri', 'sesak']"
164,jantung,Nyeri Dada,berkeringat dada hingga ke menjalar nyeri punggung yang,"['berkeringat', 'dada', 'hingga', 'ke', 'menjalar', 'nyeri', 'punggung', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['berkeringat', 'dada', 'menjalar', 'nyeri', 'punggung']","['keringat', 'dada', 'jalar', 'nyeri', 'punggung']"
165,jantung,Penyakit Jantung,atau cepat dada detak ditekan jantung napas nyeri seperti sesak tertindih,"['atau', 'cepat', 'dada', 'detak', 'ditekan', 'jantung', 'napas', 'nyeri', 'seperti', 'sesak', 'tertindih']",<FreqDist with 11 samples and 11 outcomes>,"['cepat', 'dada', 'detak', 'ditekan', 'jantung', 'napas', 'nyeri', 'sesak', 'tertindih']","['cepat', 'dada', 'detak', 'tekan', 'jantung', 'napas', 'nyeri', 'sesak', 'tindih']"
166,jantung,Penyakit Jantung Asianotik,beraktivitas cepat detak jantung lelah mudah pucat saat yang,"['beraktivitas', 'cepat', 'detak', 'jantung', 'lelah', 'mudah', 'pucat', 'saat', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['beraktivitas', 'cepat', 'detak', 'jantung', 'lelah', 'mudah', 'pucat']","['aktivitas', 'cepat', 'detak', 'jantung', 'lelah', 'mudah', 'pucat']"
167,jantung,Penyakit Jantung Bawaan,bercak biru cepat detak jantung kulit napas pada sianosis terlalu,"['bercak', 'biru', 'cepat', 'detak', 'jantung', 'kulit', 'napas', 'pada', 'sianosis', 'terlalu']",<FreqDist with 10 samples and 10 outcomes>,"['bercak', 'biru', 'cepat', 'detak', 'jantung', 'kulit', 'napas', 'sianosis']","['bercak', 'biru', 'cepat', 'detak', 'jantung', 'kulit', 'napas', 'sianosis']"
168,jantung,Penyakit Jantung Koroner,dada hingga kiri menjalar napas nyeri pendek punggung,"['dada', 'hingga', 'kiri', 'menjalar', 'napas', 'nyeri', 'pendek', 'punggung']",<FreqDist with 8 samples and 8 outcomes>,"['dada', 'kiri', 'menjalar', 'napas', 'nyeri', 'pendek', 'punggung']","['dada', 'kiri', 'jalar', 'napas', 'nyeri', 'pendek', 'punggung']"
169,jantung,Penyakit Jantung Sianotik,bibir dada dan jari kebiruan nyeri sesak tampak,"['bibir', 'dada', 'dan', 'jari', 'kebiruan', 'nyeri', 'sesak', 'tampak']",<FreqDist with 8 samples and 8 outcomes>,"['bibir', 'dada', 'jari', 'kebiruan', 'nyeri', 'sesak']","['bibir', 'dada', 'jari', 'biru', 'nyeri', 'sesak']"
170,jantung,Penyakit Katup Jantung,abnormal dada jantung napas nyeri sesak suara yang,"['abnormal', 'dada', 'jantung', 'napas', 'nyeri', 'sesak', 'suara', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['abnormal', 'dada', 'jantung', 'napas', 'nyeri', 'sesak', 'suara']","['abnormal', 'dada', 'jantung', 'napas', 'nyeri', 'sesak', 'suara']"
171,jantung,Penyakit Kawasaki,demam kulit mata merah ruam tinggi,"['demam', 'kulit', 'mata', 'merah', 'ruam', 'tinggi']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'kulit', 'mata', 'merah', 'ruam']","['demam', 'kulit', 'mata', 'merah', 'ruam']"
172,jantung,Perikarditis,bernapas lelah membengkak merasa mudah perut sulit,"['bernapas', 'lelah', 'membengkak', 'merasa', 'mudah', 'perut', 'sulit']",<FreqDist with 7 samples and 7 outcomes>,"['bernapas', 'lelah', 'membengkak', 'mudah', 'perut', 'sulit']","['napas', 'lelah', 'bengkak', 'mudah', 'perut', 'sulit']"
173,jantung,Peripartum Cardiomyopathy (PPCM),cepat dada detak jantung lelah mudah nyeri,"['cepat', 'dada', 'detak', 'jantung', 'lelah', 'mudah', 'nyeri']",<FreqDist with 7 samples and 7 outcomes>,"['cepat', 'dada', 'detak', 'jantung', 'lelah', 'mudah', 'nyeri']","['cepat', 'dada', 'detak', 'jantung', 'lelah', 'mudah', 'nyeri']"
174,jantung,Serangan Jantung,beban berat dada ke menjalar napas nyeri rahang seperti sesak tertimpa yang,"['beban', 'berat', 'dada', 'ke', 'menjalar', 'napas', 'nyeri', 'rahang', 'seperti', 'sesak', 'tertimpa', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['beban', 'berat', 'dada', 'menjalar', 'napas', 'nyeri', 'rahang', 'sesak', 'tertimpa']","['beban', 'berat', 'dada', 'jalar', 'napas', 'nyeri', 'rahang', 'sesak', 'timpa']"
175,jantung,Sindrom Brugada,hari malam napas pada pingsan pusing sesak terutama,"['hari', 'malam', 'napas', 'pada', 'pingsan', 'pusing', 'sesak', 'terutama']",<FreqDist with 8 samples and 8 outcomes>,"['malam', 'napas', 'pingsan', 'pusing', 'sesak']","['malam', 'napas', 'pingsan', 'pusing', 'sesak']"
176,jantung,Sindrom Koroner Akut,dada mual muntah nyeri,"['dada', 'mual', 'muntah', 'nyeri']",<FreqDist with 4 samples and 4 outcomes>,"['dada', 'mual', 'muntah', 'nyeri']","['dada', 'mual', 'muntah', 'nyeri']"
177,jantung,Syok Kardiogenik,cepat dada detak jantung kesadaran nyeri penurunan,"['cepat', 'dada', 'detak', 'jantung', 'kesadaran', 'nyeri', 'penurunan']",<FreqDist with 7 samples and 7 outcomes>,"['cepat', 'dada', 'detak', 'jantung', 'kesadaran', 'nyeri', 'penurunan']","['cepat', 'dada', 'detak', 'jantung', 'sadar', 'nyeri', 'turun']"
178,jantung,Takayasu arteritis,badan berat dada lelah merasa nyeri penurunan,"['badan', 'berat', 'dada', 'lelah', 'merasa', 'nyeri', 'penurunan']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'berat', 'dada', 'lelah', 'nyeri', 'penurunan']","['badan', 'berat', 'dada', 'lelah', 'nyeri', 'turun']"
179,jantung,Takikardia,berdebar cepat dengan jantung napas pusing sesak,"['berdebar', 'cepat', 'dengan', 'jantung', 'napas', 'pusing', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['berdebar', 'cepat', 'jantung', 'napas', 'pusing', 'sesak']","['debar', 'cepat', 'jantung', 'napas', 'pusing', 'sesak']"
180,jantung,Tamponade Jantung,bernapas darah denyut lemah nadi rendah sulit tekanan teraba,"['bernapas', 'darah', 'denyut', 'lemah', 'nadi', 'rendah', 'sulit', 'tekanan', 'teraba']",<FreqDist with 9 samples and 9 outcomes>,"['bernapas', 'darah', 'denyut', 'lemah', 'nadi', 'rendah', 'sulit', 'tekanan', 'teraba']","['napas', 'darah', 'denyut', 'lemah', 'nadi', 'rendah', 'sulit', 'tekan', 'aba']"
181,jantung,Tetralogy of Fallot (TOF),bibir dalam di kebiruan kulit lendir mulut pada selaput warna,"['bibir', 'dalam', 'di', 'kebiruan', 'kulit', 'lendir', 'mulut', 'pada', 'selaput', 'warna']",<FreqDist with 10 samples and 10 outcomes>,"['bibir', 'kebiruan', 'kulit', 'lendir', 'mulut', 'selaput', 'warna']","['bibir', 'biru', 'kulit', 'lendir', 'mulut', 'selaput', 'warna']"
182,jantung,Transient Ischaemic Attack,beberapa berlangsung bicara jelas kebutaan kelumpuhan menit selama tidak wajah yang,"['beberapa', 'berlangsung', 'bicara', 'jelas', 'kebutaan', 'kelumpuhan', 'menit', 'selama', 'tidak', 'wajah', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['bicara', 'kebutaan', 'kelumpuhan', 'menit', 'wajah']","['bicara', 'buta', 'lumpuh', 'menit', 'wajah']"
183,jantung,Truncus Arteriosus,berdebar bibir dan jantung kencang kuku kulit makan membiru nafsu tidak,"['berdebar', 'bibir', 'dan', 'jantung', 'kencang', 'kuku', 'kulit', 'makan', 'membiru', 'nafsu', 'tidak']",<FreqDist with 11 samples and 11 outcomes>,"['berdebar', 'bibir', 'jantung', 'kencang', 'kuku', 'kulit', 'makan', 'membiru', 'nafsu']","['debar', 'bibir', 'jantung', 'kencang', 'kuku', 'kulit', 'makan', 'biru', 'nafsu']"
184,kanker,Adenoma Bronkus,demam napas sesak,"['demam', 'napas', 'sesak']",<FreqDist with 3 samples and 3 outcomes>,"['demam', 'napas', 'sesak']","['demam', 'napas', 'sesak']"
185,kanker,Ameloblastoma,dan di infeksi kurang menderita mineral mulut protein,"['dan', 'di', 'infeksi', 'kurang', 'menderita', 'mineral', 'mulut', 'protein']",<FreqDist with 8 samples and 8 outcomes>,"['infeksi', 'menderita', 'mineral', 'mulut', 'protein']","['infeksi', 'derita', 'mineral', 'mulut', 'protein']"
186,kanker,Angiosarkoma,bengkak berdarah kulit memar mudah saat tampak tergores,"['bengkak', 'berdarah', 'kulit', 'memar', 'mudah', 'saat', 'tampak', 'tergores']",<FreqDist with 8 samples and 8 outcomes>,"['bengkak', 'berdarah', 'kulit', 'memar', 'mudah', 'tergores']","['bengkak', 'darah', 'kulit', 'memar', 'mudah', 'gores']"
187,kanker,Astrocytoma,kabur kejang kepala parah penglihatan sakit yang,"['kabur', 'kejang', 'kepala', 'parah', 'penglihatan', 'sakit', 'yang']",<FreqDist with 7 samples and 7 outcomes>,"['kabur', 'kejang', 'kepala', 'parah', 'penglihatan']","['kabur', 'kejang', 'kepala', 'parah', 'lihat']"
188,kanker,Chondrosarcoma,benjolan di pada sakit tekanan tulang,"['benjolan', 'di', 'pada', 'sakit', 'tekanan', 'tulang']",<FreqDist with 6 samples and 6 outcomes>,"['benjolan', 'tekanan', 'tulang']","['benjol', 'tekan', 'tulang']"
189,kanker,Dermatofibrosarcoma Protuberans,atau benjolan berwarna biru cokelat kenyal merah sakit terasa ungu yang,"['atau', 'benjolan', 'berwarna', 'biru', 'cokelat', 'kenyal', 'merah', 'sakit', 'terasa', 'ungu', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['benjolan', 'berwarna', 'biru', 'cokelat', 'kenyal', 'merah', 'ungu']","['benjol', 'warna', 'biru', 'cokelat', 'kenyal', 'merah', 'ungu']"
190,kanker,Kanker,batuk benjolan kelelahan kronis muncul nyeri,"['batuk', 'benjolan', 'kelelahan', 'kronis', 'muncul', 'nyeri']",<FreqDist with 6 samples and 6 outcomes>,"['batuk', 'benjolan', 'kelelahan', 'kronis', 'muncul', 'nyeri']","['batuk', 'benjol', 'lelah', 'kronis', 'muncul', 'nyeri']"
191,kanker,Kanker Anus,anus bab berdarah dan darah dengan di gatal merah nyeri sekitar terang warna,"['anus', 'bab', 'berdarah', 'dan', 'darah', 'dengan', 'di', 'gatal', 'merah', 'nyeri', 'sekitar', 'terang', 'warna']",<FreqDist with 13 samples and 13 outcomes>,"['anus', 'bab', 'berdarah', 'darah', 'gatal', 'merah', 'nyeri', 'terang', 'warna']","['anus', 'bab', 'darah', 'darah', 'gatal', 'merah', 'nyeri', 'terang', 'warna']"
192,kanker,Kanker Darah,bening di getah kelenjar leher lelah lesu mual pembengkakan,"['bening', 'di', 'getah', 'kelenjar', 'leher', 'lelah', 'lesu', 'mual', 'pembengkakan']",<FreqDist with 9 samples and 9 outcomes>,"['bening', 'getah', 'kelenjar', 'leher', 'lelah', 'lesu', 'mual', 'pembengkakan']","['bening', 'getah', 'kelenjar', 'leher', 'lelah', 'lesu', 'mual', 'bengkak']"
193,kanker,Kanker Endometrium,nyeri panggul perdarahan vagina,"['nyeri', 'panggul', 'perdarahan', 'vagina']",<FreqDist with 4 samples and 4 outcomes>,"['nyeri', 'panggul', 'perdarahan', 'vagina']","['nyeri', 'panggul', 'darah', 'vagina']"
194,kanker,Kanker Esofagus,badan berat dada menelan sebab sesak susah tanpa turun,"['badan', 'berat', 'dada', 'menelan', 'sebab', 'sesak', 'susah', 'tanpa', 'turun']",<FreqDist with 9 samples and 9 outcomes>,"['badan', 'berat', 'dada', 'menelan', 'sesak', 'susah', 'turun']","['badan', 'berat', 'dada', 'tel', 'sesak', 'susah', 'turun']"
195,kanker,Kanker Ginjal,dalam darah lemah nyeri pinggang tubuh urine,"['dalam', 'darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']",<FreqDist with 7 samples and 7 outcomes>,"['darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']","['darah', 'lemah', 'nyeri', 'pinggang', 'tubuh', 'urine']"
196,kanker,Kanker Hati,badan bagian berat dan kulit kuning mata membengkak pada penurunan perut putih sebab tanpa,"['badan', 'bagian', 'berat', 'dan', 'kulit', 'kuning', 'mata', 'membengkak', 'pada', 'penurunan', 'perut', 'putih', 'sebab', 'tanpa']",<FreqDist with 14 samples and 14 outcomes>,"['badan', 'berat', 'kulit', 'kuning', 'mata', 'membengkak', 'penurunan', 'perut', 'putih']","['badan', 'berat', 'kulit', 'kuning', 'mata', 'bengkak', 'turun', 'perut', 'putih']"
197,kanker,Kanker Kandung Kemih,air bertambah buang dalam darah frekuensi kecil nyeri pinggang urine,"['air', 'bertambah', 'buang', 'dalam', 'darah', 'frekuensi', 'kecil', 'nyeri', 'pinggang', 'urine']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'bertambah', 'buang', 'darah', 'frekuensi', 'nyeri', 'pinggang', 'urine']","['air', 'tambah', 'buang', 'darah', 'frekuensi', 'nyeri', 'pinggang', 'urine']"
198,kanker,Kanker Kelenjar Air Liur,bengkak di mati menelan rahang rasa sekitar sulit wajah,"['bengkak', 'di', 'mati', 'menelan', 'rahang', 'rasa', 'sekitar', 'sulit', 'wajah']",<FreqDist with 9 samples and 9 outcomes>,"['bengkak', 'mati', 'menelan', 'rahang', 'sulit', 'wajah']","['bengkak', 'mati', 'tel', 'rahang', 'sulit', 'wajah']"
199,kanker,Kanker Kulit,atas bekas benjolan bercak bintik di hitam kulit luka muncul mutiara pada seperti,"['atas', 'bekas', 'benjolan', 'bercak', 'bintik', 'di', 'hitam', 'kulit', 'luka', 'muncul', 'mutiara', 'pada', 'seperti']",<FreqDist with 13 samples and 13 outcomes>,"['bekas', 'benjolan', 'bercak', 'bintik', 'hitam', 'kulit', 'luka', 'muncul', 'mutiara']","['bekas', 'benjol', 'bercak', 'bintik', 'hitam', 'kulit', 'luka', 'muncul', 'mutiara']"
200,kanker,Kanker Kulit Melanoma,atau benjolan bentuk berdarah berubah bisa dan kulit lalat luka padat seperti tahi tampak ukuran warna yang,"['atau', 'benjolan', 'bentuk', 'berdarah', 'berubah', 'bisa', 'dan', 'kulit', 'lalat', 'luka', 'padat', 'seperti', 'tahi', 'tampak', 'ukuran', 'warna', 'yang']",<FreqDist with 17 samples and 17 outcomes>,"['benjolan', 'bentuk', 'berdarah', 'berubah', 'kulit', 'lalat', 'luka', 'padat', 'tahi', 'ukuran', 'warna']","['benjol', 'bentuk', 'darah', 'ubah', 'kulit', 'lalat', 'luka', 'padat', 'tahi', 'ukur', 'warna']"
201,kanker,Kanker Lambung,kembung kenyang kronik maag merasa selalu,"['kembung', 'kenyang', 'kronik', 'maag', 'merasa', 'selalu']",<FreqDist with 6 samples and 6 outcomes>,"['kembung', 'kenyang', 'kronik', 'maag']","['kembung', 'kenyang', 'kronik', 'maag']"
202,kanker,Kanker Laring,atau benjolan di kesulitan leher menelan sakit serak suara,"['atau', 'benjolan', 'di', 'kesulitan', 'leher', 'menelan', 'sakit', 'serak', 'suara']",<FreqDist with 9 samples and 9 outcomes>,"['benjolan', 'kesulitan', 'leher', 'menelan', 'serak', 'suara']","['benjol', 'sulit', 'leher', 'tel', 'serak', 'suara']"
203,kanker,Kanker Lidah,atau di kunjung mati mulut rahang rasa sakit sariawan sembuh tenggorokan tidak yang,"['atau', 'di', 'kunjung', 'mati', 'mulut', 'rahang', 'rasa', 'sakit', 'sariawan', 'sembuh', 'tenggorokan', 'tidak', 'yang']",<FreqDist with 13 samples and 13 outcomes>,"['kunjung', 'mati', 'mulut', 'rahang', 'sariawan', 'sembuh', 'tenggorokan']","['kunjung', 'mati', 'mulut', 'rahang', 'sariawan', 'sembuh', 'tenggorok']"
204,kanker,Kanker Mulut,aneh beberapa benjolan bibir dalam kebas minggu mulut sariawan selama,"['aneh', 'beberapa', 'benjolan', 'bibir', 'dalam', 'kebas', 'minggu', 'mulut', 'sariawan', 'selama']",<FreqDist with 10 samples and 10 outcomes>,"['aneh', 'benjolan', 'bibir', 'kebas', 'minggu', 'mulut', 'sariawan']","['aneh', 'benjol', 'bibir', 'kebas', 'minggu', 'mulut', 'sariawan']"
205,kanker,Kanker Nasofaring,benjolan berulang di infeksi kehilangan leher pendengaran telinga,"['benjolan', 'berulang', 'di', 'infeksi', 'kehilangan', 'leher', 'pendengaran', 'telinga']",<FreqDist with 8 samples and 8 outcomes>,"['benjolan', 'berulang', 'infeksi', 'kehilangan', 'leher', 'pendengaran', 'telinga']","['benjol', 'ulang', 'infeksi', 'hilang', 'leher', 'dengar', 'telinga']"
206,kanker,Kanker Otak,berjalan kepala kesulitan muntah sakit,"['berjalan', 'kepala', 'kesulitan', 'muntah', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['berjalan', 'kepala', 'kesulitan', 'muntah']","['jalan', 'kepala', 'sulit', 'muntah']"
207,kanker,Kanker Ovarium,badan berat cepat kembung kenyang perut turun,"['badan', 'berat', 'cepat', 'kembung', 'kenyang', 'perut', 'turun']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'berat', 'cepat', 'kembung', 'kenyang', 'perut', 'turun']","['badan', 'berat', 'cepat', 'kembung', 'kenyang', 'perut', 'turun']"
208,kanker,Kanker Pankreas,atas badan berat ke makan menjalar nafsu nyeri penurunan perut punggung yang,"['atas', 'badan', 'berat', 'ke', 'makan', 'menjalar', 'nafsu', 'nyeri', 'penurunan', 'perut', 'punggung', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['badan', 'berat', 'makan', 'menjalar', 'nafsu', 'nyeri', 'penurunan', 'perut', 'punggung']","['badan', 'berat', 'makan', 'jalar', 'nafsu', 'nyeri', 'turun', 'perut', 'punggung']"
209,kanker,Kanker Paru,badan batuk berat berdarah napas penurunan sesak,"['badan', 'batuk', 'berat', 'berdarah', 'napas', 'penurunan', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'batuk', 'berat', 'berdarah', 'napas', 'penurunan', 'sesak']","['badan', 'batuk', 'berat', 'darah', 'napas', 'turun', 'sesak']"
210,kanker,Kanker Payudara,benjolan berubah darah dari keluar kulit nyeri payudara puting susu tekstur,"['benjolan', 'berubah', 'darah', 'dari', 'keluar', 'kulit', 'nyeri', 'payudara', 'puting', 'susu', 'tekstur']",<FreqDist with 11 samples and 11 outcomes>,"['benjolan', 'berubah', 'darah', 'kulit', 'nyeri', 'payudara', 'puting', 'susu', 'tekstur']","['benjol', 'ubah', 'darah', 'kulit', 'nyeri', 'payudara', 'puting', 'susu', 'tekstur']"
211,kanker,Kanker Payudara pada Pria,benjolan berkerut di jaringan payudara penebalan,"['benjolan', 'berkerut', 'di', 'jaringan', 'payudara', 'penebalan']",<FreqDist with 6 samples and 6 outcomes>,"['benjolan', 'berkerut', 'jaringan', 'payudara', 'penebalan']","['benjol', 'kerut', 'jaring', 'payudara', 'tebal']"
212,kanker,Kanker Prostat,air aliran atau biasanya buang darah di kecil kesulitan mulai sederas semen tidak untuk urine,"['air', 'aliran', 'atau', 'biasanya', 'buang', 'darah', 'di', 'kecil', 'kesulitan', 'mulai', 'sederas', 'semen', 'tidak', 'untuk', 'urine']",<FreqDist with 15 samples and 15 outcomes>,"['air', 'aliran', 'buang', 'darah', 'kesulitan', 'sederas', 'semen', 'urine']","['air', 'alir', 'buang', 'darah', 'sulit', 'deras', 'semen', 'urine']"
213,kanker,Kanker Rektum,dan darah lendir pada sembelit tinja,"['dan', 'darah', 'lendir', 'pada', 'sembelit', 'tinja']",<FreqDist with 6 samples and 6 outcomes>,"['darah', 'lendir', 'sembelit', 'tinja']","['darah', 'lendir', 'sembelit', 'tinja']"
214,kanker,Kanker Saluran Empedu,berwarna feses gelap jaundice pucat urine,"['berwarna', 'feses', 'gelap', 'jaundice', 'pucat', 'urine']",<FreqDist with 6 samples and 6 outcomes>,"['berwarna', 'feses', 'gelap', 'jaundice', 'pucat', 'urine']","['warna', 'feses', 'gelap', 'jaundice', 'pucat', 'urine']"
215,kanker,Kanker Sarkoma Ewing,bengkak dan di kaku lokasi nyeri tumor,"['bengkak', 'dan', 'di', 'kaku', 'lokasi', 'nyeri', 'tumor']",<FreqDist with 7 samples and 7 outcomes>,"['bengkak', 'kaku', 'lokasi', 'nyeri', 'tumor']","['bengkak', 'kaku', 'lokasi', 'nyeri', 'tumor']"
216,kanker,Kanker Serviks,bau bercampur dan darah di hubungan keputihan luar menstruasi pada perdarahan seks setelah vagina yang,"['bau', 'bercampur', 'dan', 'darah', 'di', 'hubungan', 'keputihan', 'luar', 'menstruasi', 'pada', 'perdarahan', 'seks', 'setelah', 'vagina', 'yang']",<FreqDist with 15 samples and 15 outcomes>,"['bau', 'bercampur', 'darah', 'hubungan', 'keputihan', 'menstruasi', 'perdarahan', 'seks', 'vagina']","['bau', 'campur', 'darah', 'hubung', 'putih', 'menstruasi', 'darah', 'seks', 'vagina']"
217,kanker,Kanker Tenggorokan,menelan sakit serak suara sulit tenggorokan,"['menelan', 'sakit', 'serak', 'suara', 'sulit', 'tenggorokan']",<FreqDist with 6 samples and 6 outcomes>,"['menelan', 'serak', 'suara', 'sulit', 'tenggorokan']","['tel', 'serak', 'suara', 'sulit', 'tenggorok']"
218,kanker,Kanker Testis,benjolan di hilang lipatan nyeri paha terasa testis timbul yang,"['benjolan', 'di', 'hilang', 'lipatan', 'nyeri', 'paha', 'terasa', 'testis', 'timbul', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['benjolan', 'hilang', 'lipatan', 'nyeri', 'paha', 'testis', 'timbul']","['benjol', 'hilang', 'lipat', 'nyeri', 'paha', 'testis', 'timbul']"
219,kanker,Kanker Tiroid,benjolan di leher menelan serak suara sulit,"['benjolan', 'di', 'leher', 'menelan', 'serak', 'suara', 'sulit']",<FreqDist with 7 samples and 7 outcomes>,"['benjolan', 'leher', 'menelan', 'serak', 'suara', 'sulit']","['benjol', 'leher', 'tel', 'serak', 'suara', 'sulit']"
220,kanker,Kanker Tulang,area dan dekat di lelah melemahnya mudah nyeri pembengkakan terjangkit tulang yang,"['area', 'dan', 'dekat', 'di', 'lelah', 'melemahnya', 'mudah', 'nyeri', 'pembengkakan', 'terjangkit', 'tulang', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['area', 'lelah', 'melemahnya', 'mudah', 'nyeri', 'pembengkakan', 'terjangkit', 'tulang']","['area', 'lelah', 'lemah', 'mudah', 'nyeri', 'bengkak', 'jangkit', 'tulang']"
221,kanker,Kanker Usus Besar,atau bab badan berat berdarah diare konstipasi penurunan perubahan pola sebab seperti tanpa,"['atau', 'bab', 'badan', 'berat', 'berdarah', 'diare', 'konstipasi', 'penurunan', 'perubahan', 'pola', 'sebab', 'seperti', 'tanpa']",<FreqDist with 13 samples and 13 outcomes>,"['bab', 'badan', 'berat', 'berdarah', 'diare', 'konstipasi', 'penurunan', 'perubahan', 'pola']","['bab', 'badan', 'berat', 'darah', 'diare', 'konstipasi', 'turun', 'ubah', 'pola']"
222,kanker,Kanker Usus Halus,badan benjolan berat di penurunan perut sakit,"['badan', 'benjolan', 'berat', 'di', 'penurunan', 'perut', 'sakit']",<FreqDist with 7 samples and 7 outcomes>,"['badan', 'benjolan', 'berat', 'penurunan', 'perut']","['badan', 'benjol', 'berat', 'turun', 'perut']"
223,kanker,Kanker Vagina,benjol berlebihan cairan encer pendarahan secara vagina,"['benjol', 'berlebihan', 'cairan', 'encer', 'pendarahan', 'secara', 'vagina']",<FreqDist with 7 samples and 7 outcomes>,"['benjol', 'cairan', 'encer', 'pendarahan', 'vagina']","['benjol', 'cair', 'encer', 'darah', 'vagina']"
